timestamp,close,high,low,open,volume,log_returns,volatility_5,momentum_5
2014-09-22,402.1520080566406,406.9159851074219,397.1300048828125,399.1000061035156,24127600,0.008317415847792081,0.04855977959815754,-0.025716772653258512
2014-09-23,435.7909851074219,441.5570068359375,396.1969909667969,402.0920104980469,45099500,0.08033258980830758,0.05805462410213903,0.005278415538213008
2014-09-24,423.2049865722656,436.11199951171875,421.1319885253906,435.7510070800781,30627700,-0.029306072958098176,0.04547480204295199,0.013897502609790707
2014-09-25,411.5740051269531,423.5199890136719,409.4679870605469,423.156005859375,26814400,-0.027867817193167922,0.046831820142212106,0.0013016913863411563
2014-09-26,404.4249877929688,414.93798828125,400.0090026855469,411.4289855957031,21460800,-0.017522571265166875,0.045896802076520776,0.00279070884793334
2014-09-27,399.5199890136719,406.62298583984375,397.37200927734375,403.5559997558594,15029300,-0.012202475999442316,0.04619551837766878,-0.00131326952151354
2014-09-28,377.1809997558594,401.0169982910156,374.3320007324219,399.47100830078125,23613300,-0.05753862134517328,0.01753320665002535,-0.028887511752209716
2014-09-29,375.4670104980469,385.21099853515625,372.239990234375,376.9280090332031,32497700,-0.004554565208133669,0.02060972469845515,-0.023937210202216813
2014-09-30,386.9440002441406,390.97698974609375,373.4429931640625,376.0880126953125,34707300,0.03010936786854685,0.03135424668561749,-0.012341773189873857
2014-10-01,383.614990234375,391.3789978027344,380.7799987792969,387.427001953125,26229400,-0.008640560327416795,0.03123873967202749,-0.010565371002323841
2014-10-02,375.0719909667969,385.49700927734375,372.9460144042969,383.9880065917969,21777700,-0.022521436563615105,0.031711222882033936,-0.012629163115158399
2014-10-03,359.5119934082031,377.69500732421875,357.8590087890625,375.1809997558594,30901200,-0.042370445494222315,0.026664941186906935,-0.009595527944968207
2014-10-04,328.8659973144531,364.48699951171875,325.885986328125,359.8919982910156,47236500,-0.0890971731632362,0.04390240918540801,-0.026504049535988717
