timestamp,close,high,low,open,volume,log_returns,volatility_5,momentum_5,market_regime,signal
2010-06-16,1.3990644216537476,1.3990644216537476,1.3990644216537476,1.3990644216537476,0,0.0,0.0,0.0,,
2010-06-17,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,353,0.1122675031995364,0.05020755376366771,0.02245350063990728,,
2010-06-18,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.05020755376366771,0.02245350063990728,,
2010-06-21,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.05020755376366771,0.02245350063990728,,
2010-06-22,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.05020755376366771,0.02245350063990728,,
2010-06-23,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.05020755376366771,0.02245350063990728,,
2010-06-24,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,3.0,-1.0
2010-06-25,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-06-28,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-06-29,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-06-30,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-07-01,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-07-02,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-07-06,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-07-07,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-07-08,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-07-09,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-07-12,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-07-13,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-07-14,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-07-15,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
2010-07-16,1.5652902126312256,1.5652902126312256,1.5652902126312256,1.5652902126312256,0,0.0,0.0,0.0,0.0,0.0
